BuyerAgentAOR,ListAgentAOR,Flooring,ViewYN,WaterfrontYN,BasementYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,MlsStatus,ElementarySchool,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,OriginatingSystemName,OriginatingSystemSubName
ContraCosta,BayEast,,,,,,1580000.0,1155696412,2026-02-19,1580000.0,Kevin,Brown,38.634497,-121.381199,3539 Edison Ave,ResidentialIncome,,1580000.0,385,Better Homes Realty,UNKNOWN,,Kevin Brown,,,CCBE-R00000004,TEST,ID,,,,1155696412,,,Sacramento,Closed,,,20.0,,,0.4289,Other,ContraCosta,1956,3539,41128127,0,Sacramento,,,,2026-02-19,,,2025-10-04,2024-09-14,,,CA,,,,,,,,18682.0,,,,,95821,0.0,18682.0,,CRMLS,CRMLS_CCBE
OrangeCounty,OrangeCounty,"Carpet,Tile",False,,,False,1100000.0,1155620121,2026-02-27,1100000.0,Senka,Plese,33.695943,-117.786376,14921 Groveview,Residential,1153.0,1100000.0,0,RE/MAX Connections,RE/MAX Connections,RE/MAX Connections,Senka Plese,Hannah,Song,ocplessen,Senka,Plese,,,,1155620121,EC - El Camino Real,,Orange,Closed,Greentree,True,4.0,,SingleFamilyResidence,0.1148,Willows (WL),OrangeCounty,1971,14921,OC26061176,2,Irvine,,,3,2026-02-27,,Hannah,2026-01-27,2026-01-25,,,CA,,Venado,True,1,Irvine,One,,5000.0,3,False,2.0,Irvine Unified,92604,,5000.0,,CRMLS,CRMLS_CRM
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,Wood,False,,,False,999000.0,1155350576,2026-02-27,938000.0,Hosh,Maha,34.187249,-118.464242,6419 Columbus Avenue,Residential,912.0,999000.0,8,EstateX inc.,EstateX inc.,EstateX inc.,Hosh Maha,Sarah,McDonald,CLW-C137047,Hosh,Maha,,,,1155350576,VN - Van Nuys,,Los Angeles,Closed,,,0.0,,SingleFamilyResidence,0.2756,,BeverlyHillsGreaterLa,1933,6419,26665349,1,Van Nuys,,912.0,3,2026-02-27,,Claire,2025-11-26,2025-11-18,,,CA,,,True,1,,One,107x112,12005.0,,False,,,91411,,12005.0,,CRMLS,CRMLS_CL
SanDiego,SanDiego,,,,,,1650000.0,1155221012,2026-02-14,1650000.0,Adam,Cairo,32.63644108,-117.07599127,259 Alvarado St,CommercialSale,,1650000.0,0,"Starker West, Inc.","Starker West, Inc.","Starker West, Inc.",Adam Cairo,Seth,Watje,SAND-646004,Seth,Watje,,,,1155221012,91910 - Chula Vista,,San Diego,Closed,,,0.0,,MixedUse,0.1573,,SanDiego,,259,260006030SD,0,Chula Vista,,,,2026-02-14,,,2026-02-14,2026-02-25,,,CA,,,,,,,,6851.0,,,,,91910,0.0,6851.0,,CRMLS,CRMLS_SAND
Newport,Newport,,False,,,False,525000.0,1155192177,2026-02-24,525000.0,Dustin,Alamo,38.055464,-122.158783,255 Military W,Residential,2145.0,525000.0,0,"Alamo Pacific Realty, Inc","Alamo Pacific Realty, Inc",,Dustin Alamo,,,NP60281,Dustin,Alamo,,,,1155192177,,,Solano,Closed,,,0.0,,SingleFamilyResidence,0.43,,Newport,1900,255,NP26055593,1,Benicia,,,4,2026-02-24,,,2026-02-08,2026-02-08,,,CA,,,False,2,,"Two,ThreeOrMore",,18730.0,4,False,0.0,ABC Unified,94510,0.0,18730.0,,CRMLS,CRMLS_CRM
Mrmls,SierraNorthValley,,True,,,False,299000.0,1155179209,2026-02-27,240000.0,Marty,Leatherman,39.734906,-121.832084,555 Vallombrosa,Residential,902.0,299000.0,0,Re/Max of Chico,NONMEMBER MRML,,Marty Leatherman,,,nonmember,General,NONMEMBER,,Monthly,,1155179209,,,Butte,Closed,,False,1.0,,Condominium,0.02,,Mrmls,1973,555,SN26054377,1,Chico,,,2,2026-02-27,,,2026-01-29,2026-01-29,,,CA,,,True,1,,One,,871.0,2,False,1.0,Chico Unified,95926,468.0,871.0,,CRMLS,CRMLS_CRM
CitrusValley,WestSanGabrielValley,,False,,,False,905000.0,1155113968,2026-02-17,905000.0,Sarah,Johnson,34.179042,-118.1459,1930 N Marengo,Residential,1214.0,905000.0,0,Real Brokerage Technologies,eXp Realty of Greater Los Angeles,Real Brokerage Technologies,Sarah Johnson,PEGGY,LIM,CV49342,Vivian,Tang,,,,1155113968,645 - Pasadena (NW),,Los Angeles,Closed,,True,2.0,,SingleFamilyResidence,0.1894,,CitrusValley,1976,1930,WS26031120,2,Pasadena,,,4,2026-02-17,,Denny,2026-02-17,2026-02-17,,,CA,,,False,1,,One,,8251.0,4,False,2.0,Pasadena Unified,91103,0.0,8251.0,,CRMLS,CRMLS_CRM
BayEast,Oakland,Carpet,,,,False,1210000.0,1155025463,2026-02-27,1210000.0,Michael,Swiderski,37.90477824,-122.04718318,1066 Hacienda Dr,Residential,1400.0,1210000.0,0,Coldwell Banker Realty,Open Access,,Michael Swiderski,,,BMLS-174568559,Anastasie,Martin,,,,1155025463,,,Contra Costa,Closed,,True,2.0,,SingleFamilyResidence,0.6336,LAKEWOOD,BayEast,1954,1066,41126804,2,Walnut Creek,,,4,2026-02-27,,,2026-02-27,2026-02-27,,,CA,,,True,1,,One,,27600.0,,False,2.0,,94598,,27600.0,,CRMLS,CRMLS_BMLS
Newport,Newport,"Tile,Wood",True,,,False,3150000.0,1154998305,2026-02-24,3150000.0,Casey,O'Connor,33.596168,-117.864925,615 .5 Poppy Avenue,Residential,1400.0,3150000.0,0,Berkshire Hathaway HomeService,Christie's International R.E. Southern California,"Sailhouse Real Estate, Inc.",Casey O'Connor,Pat,Patterson,U40320,Casey,Lesher,,,,1154998305,CS - Corona Del Mar - Spyglass,,Orange,Closed,,True,2.0,,Condominium,0.0813,Corona del Mar North of PCH (CNHW),Newport,2025,615,NP26053262,4,Corona Del Mar,,,3,2026-02-24,,,2026-01-30,2025-12-16,,,CA,,,True,,,ThreeOrMore,,3540.0,1,True,1.0,Newport Mesa Unified,92625,0.0,3540.0,,CRMLS,CRMLS_CRM
Mlslistings,Mlslistings,,False,,,,,1154943263,2026-02-24,2100000.0,,Strock Team,37.23089487,-121.95761875,16369 Hilow Road,Residential,1056.0,2100000.0,0,eXp Realty of California Inc,eXp Realty of California Inc,Strock Real Estate, Strock Team,Natalia,Fulga,ML5084906,Bjorn,Berg,,,,1154943263,699 - Not Defined,,Santa Clara,Closed,Other,False,6.0,,SingleFamilyResidence,0.24,,Mlslistings,1951,16369,ML82037960,1,Los Gatos,,,3,2026-02-24,,,2026-02-24,2026-02-24,,,CA,,Raymond J. Fisher,False,,Los Gatos,,,10454.0,,False,2.0,Other,95032,,10454.0,,CRMLS,CRMLS_MLSL
NorthSanDiegoCounty,NorthSanDiegoCounty,Laminate,False,,,False,649999.0,1154868125,2026-02-27,700000.0,Jim,Bottrell,32.734123,-117.081553,5304 Nutmeg Street,Residential,1346.0,649999.0,0,eXp Realty Greater Los Angeles,"eXp Realty of Greater Los Angeles, Inc","eXp Realty of Greater Los Angeles, Inc",Jim Bottrell,Brian,Thompson,ND126155,Brian,Thompson,,,,1154868125,92105 - East San Diego,,San Diego,Closed,,True,1.0,,SingleFamilyResidence,0.1263,,NorthSanDiegoCounty,1970,5304,NDP2602236,2,San Diego,,,3,2026-02-27,,,2026-02-06,2026-01-26,,,CA,,,False,1,,One,,5500.0,,,1.0,San Diego Unified,92105,0.0,5500.0,,CRMLS,CRMLS_CRP
NorthSanDiegoCounty,NorthSanDiegoCounty,,True,,,,700000.0,1154785403,2026-02-25,700000.0,Meriah,Druliner,33.19459705,-116.7911459,0 Mesa Grande Road,Land,,700000.0,0,Chameleon/Red Hawk Realty,Chameleon/Red Hawk Realty,Chameleon/Red Hawk Realty,Meriah Druliner,Donn,Bree,105776,Meriah,Druliner,,,,1154785403,92070 - Santa Ysabel,,San Diego,Closed,,,0.0,,,80.0,,NorthSanDiegoCounty,,0,NDP2602218,0,Santa Ysabel,,,,2026-02-25,,,2026-02-01,2026-02-01,,,CA,,,,,,,,80.0,,,,,92070,0.0,3484800.0,,CRMLS,CRMLS_CRP
